Title,District,Price €,Space m²,Rooms,available since
"1ZimmerWohnung,Schwabing",MünchenMaxvorstadt,900,30,1-Zimmer-Wohnung,29.06.2022-31.08.2022
TeilmöbliertesApartmentanU2Karl-Preis-Platz|FurnishedApartmentclosetoU2Karl-Preis-Platz,MünchenAu-Haidhausen,595,25,1-Zimmer-Wohnung,01.07.2022
Möblierte1-Zimmer-WohnunginMünchenRiem,MünchenTrudering-Riem,650,18,1-Zimmer-Wohnung,01.07.2022
MöbliertesStudentenappartment,MünchenSchwing-Freimann,950,19,1-Zimmer-Wohnung,01.10.2022-30.09.2025
vollmöbliertesStudentenappartment,MünchenSchwing-Freimann,950,19,1-Zimmer-Wohnung,01.10.2022-30.09.2025
(Verfügbar1-24Monate)-ModernesZimmermittollerAussichtineinemColivingApartmentinMünchen,München,950,12,1-Zimmer-Wohnung,04.06.2022
VöllmöbliertesStudentenappartment,MünchenSchwing-Freimann,950,19,1-Zimmer-Wohnung,01.10.2022-30.09.2026
Möblierte1ZimmerWohnungbefristetzuvermieten,MünchenNeuhausen-Nymphenburg,686,34,1-Zimmer-Wohnung,18.07.2022
1ZimmerAppartmentnäheBMW,MünchenFeldmoching-Hasenbergl,650,28,1-Zimmer-Wohnung,23.06.2022-16.09.2022
NEUESWOHNHEIMFÜRSTUDIERENDEUNDAZUBISINMÜNCHEN:GemütlicheApartments-vollmöbliertunddabeibezahlbar,MünchenTrudering-Riem,780,19,1-Zimmer-Wohnung,23.06.2022
1ZimmerwohnungunbefristetnurfürStudenten,MünchenLudwigsvorstadt-Isarvorstadt,580,23,1-Zimmer-Wohnung,16.07.2022
"ZentraleLage,neusvollmobiliertes1-ZimmerApartmentinderLüdwigsvorstadt",MünchenLudwigsvorstadt-Isarvorstadt,990,27,1-Zimmer-Wohnung,15.07.2022
neuesmöbliertesStudentenappartmentinFreimann,MünchenSchwing-Freimann,950,19,1-Zimmer-Wohnung,01.10.2022-18.10.2024
UntermieteMünchenSchwabing,MünchenSchwing-West,866,36,1-Zimmer-Wohnung,01.07.2022-30.09.2022
THEFIZZMünchen–WohnenaufZeit–VollmöblierteApartmentsmitflexiblenMietzeiten,MünchenNeuhausen-Nymphenburg,2189,40,1-Zimmer-Wohnung,23.06.2022-21.12.2022
THEFIZZMünchen–WohnenaufZeit–VollmöblierteApartmentsmitflexiblenMietzeiten,MünchenNeuhausen-Nymphenburg,1989,28,1-Zimmer-Wohnung,23.06.2022-19.12.2022
"Schöne,geräumigeundkomfortable1-Zimmer-Wohnung",MünchenMaxvorstadt,800,40,1-Zimmer-Wohnung,24.06.2022-31.12.2024
THEFIZZMünchen–WohnenaufZeit-VollmöblierteApartmentsmitflexiblenMietzeiten,MünchenNeuhausen-Nymphenburg,1859,31,1-Zimmer-Wohnung,23.06.2022-14.08.2023
THEFIZZMunich-FullyfurnishedApartments-Flexiblerentalperiods,MünchenNeuhausen-Nymphenburg,1769,24,1-Zimmer-Wohnung,23.06.2022-18.10.2023
THEFIZZMünchen–WohnenaufZeit–VollmöblierteApartmentsmitflexiblenMietzeiten,MünchenNeuhausen-Nymphenburg,1859,24,1-Zimmer-Wohnung,23.06.2022-31.01.2025
THEFIZZMunich–FullyfurnishedApartmentsforStudents,MünchenNeuhausen-Nymphenburg,988,17,1-Zimmer-Wohnung,23.06.2022-21.09.2023
THEFIZZMünchen–VollmöbliertesApartmentfürStudenten,MünchenNeuhausen-Nymphenburg,988,17,1-Zimmer-Wohnung,23.06.2022-21.09.2023
"Schönehelle1-ZimmerWohnungWaldfriedhofstr.1,Küche,Bad,TG,Keller,Südbalkonim3.Stock",MünchenSendling-Westpark,850,40,1-Zimmer-Wohnung,01.08.2022
